Rk,Player,Nation,Pos,Squad,Comp,Age,Born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Expected xG,Expected npxG,Expected xA,Expected npxG+xA,Per 90 Minutes xG,Per 90 Minutes xA,Per 90 Minutes xG+xA,Per 90 Minutes npxG,Per 90 Minutes npxG+xA
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,eng Premier League,26,1990,28,25,2184,24.3,5,1,5,0,0,7,0,0.21,0.04,0.25,0.21,0.25,3.1,3.1,1.5,4.5,0.13,0.06,0.19,0.13,0.19
2,Rolando Aarons\Rolando-Aarons,eng ENG,MFFW,Hellas Verona,it Serie A,21,1995,11,6,517,5.7,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.5,0.04,0.04,0.08,0.04,0.08
3,Rolando Aarons\Rolando-Aarons,eng ENG,FWMF,Newcastle Utd,eng Premier League,21,1995,4,1,139,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0.1,0,0.1,0.1,0.1
4,Ignazio Abate\Ignazio-Abate,it ITA,DF,Milan,it Serie A,30,1986,17,11,1057,11.7,1,0,1,0,0,3,0,0.09,0,0.09,0.09,0.09,0.2,0.2,0.6,0.8,0.02,0.05,0.07,0.02,0.07
5,Aymen Abdennour\Aymen-Abdennour,tn TUN,DF,Marseille,fr Ligue 1,27,1989,8,6,500,5.6,0,0,0,0,0,3,0,0,0,0,0,0,0.1,0.1,0,0.1,0.02,0,0.02,0.02,0.02
6,Aly Abeid\Aly-Abeid,mr MTN,DF,Levante,es La Liga,19,1997,1,1,76,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.19,0.19,0,0.19
7,Mehdi Abeid\Mehdi-Abeid,dz ALG,MF,Dijon,fr Ligue 1,24,1992,19,14,1176,13.1,0,1,0,0,0,2,0,0,0.08,0.08,0,0.08,1,1,0.2,1.2,0.08,0.02,0.09,0.08,0.09
8,David Abraham\David-Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,31,1986,27,27,2302,25.6,0,2,0,0,0,3,0,0,0.08,0.08,0,0.08,0.5,0.5,0.4,0.8,0.02,0.01,0.03,0.02,0.03
9,Tammy Abraham\Tammy-Abraham,eng ENG,FWMF,Swansea City,eng Premier League,19,1997,31,15,1726,19.2,5,1,5,0,0,0,0,0.26,0.05,0.31,0.26,0.31,6.3,6.3,0.7,7,0.33,0.04,0.37,0.33,0.37
10,Amir Abrashi\Amir-Abrashi,al ALB,MF,Freiburg,de Bundesliga,27,1990,12,11,850,9.4,0,0,0,0,0,2,0,0,0,0,0,0,0.2,0.2,0.5,0.7,0.02,0.06,0.08,0.02,0.08
